provider_id,snapshot_year,snapshot_label,Preventable Readmission Rate,Discharge to Community Rate,Medicare Spending Per Beneficiary (MSPB),Medication Review Rate,Fall with Major Injury Rate,Self-Care at Discharge,Mobility at Discharge,Pressure Ulcer Rate,Healthcare-Associated Infection Rate,facility_name,address,city,state,zip_code,county_name,phone_number,composite_raw
185166,2022,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Nov2022.csv,8.7,33.2,1.16,100.0,0.9,,,7.26,7.04,,200 MEDICAL CENTER DRIVE,,KY,,,,0.5157908974098872
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Apr2023.csv,8.7,33.2,1.16,100.0,2.0,,,6.23,7.04,,200 MEDICAL CENTER DRIVE,,KY,,,,0.539967539054575
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Aug2023.csv,8.7,33.2,1.16,100.0,0.0,,,7.63,7.04,,,,,,,,0.48221410698586603
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Feb2023.csv,8.7,33.2,1.16,100.0,1.6,,,5.2,7.04,,,,,,,,0.5226550348278894
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jan2023.csv,8.7,33.2,1.16,100.0,1.6,,,5.2,7.04,,,,,,,,0.5226550348278894
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jul2023.csv,8.7,33.2,1.16,100.0,0.0,,,7.63,7.04,,,,,,,,0.48221410698586603
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jun2023.csv,8.7,33.2,1.16,100.0,2.0,,,6.23,7.04,,,,,,,,0.539967539054575
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Mar2023.csv,8.7,33.2,1.16,100.0,1.6,,,5.2,7.04,,,,,,,,0.5226550348278894
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_May2023.csv,8.7,33.2,1.16,100.0,2.0,,,6.23,7.04,,,,,,,,0.539967539054575
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Nov2023.csv,12.59,34.69,1.07,100.0,2.3,,,5.5,6.09,,,,,,,,0.5641441806992629
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Oct2023.csv,12.59,34.69,1.07,100.0,2.3,,,5.5,6.09,,,,,,,,0.5641441806992629
185166,2023,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Sep2023.csv,8.7,33.2,1.16,100.0,0.0,,,7.63,7.04,,,,,,,,0.48221410698586603
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Apr2024.csv,12.59,34.69,1.07,100.0,2.4,,,6.2,6.09,HARLAN HEALTH AND REHABILITATION CENTER,200 MEDICAL CENTER DRIVE,HARLAN,KY,40831.0,Harlan,(606)573-7250,0.5688442550889294
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Aug2024.csv,12.59,34.69,1.07,100.0,2.5,,,2.4,6.09,,,,,,,,0.5269155339149252
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Feb2024.csv,12.59,34.69,1.07,100.0,2.0,,,4.7,6.09,,,,,,,,0.552174207073781
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jan2024.csv,12.59,34.69,1.07,100.0,2.0,,,4.7,6.09,,,,,,,,0.552174207073781
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jul2024.csv,12.59,34.69,1.07,100.0,2.5,,,2.4,6.09,,,,,,,,0.5269155339149252
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Jun2024.csv,12.59,34.69,1.07,100.0,2.4,,,6.2,6.09,,,,,,,,0.5688442550889294
185166,2024,Skilled_Nursing_Facility_Quality_Reporting_Program_Provider_Data_Mar2024.csv,12.59,34.69,1.07,100.0,2.0,,,4.7,6.09,,,,,,,,0.552174207073781
